HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	TTDspFA   	TTDspSS   	TTDspAx   	
(s)	(m)       	(m)       	(m)       	
23.700000	0.300333	-0.007793	-0.000771	
23.750000	0.299159	-0.006689	-0.000763	
23.800000	0.297985	-0.006112	-0.000755	
23.850000	0.296824	-0.006060	-0.000755	
23.900000	0.295692	-0.006521	-0.000748	
23.950000	0.294605	-0.007475	-0.000740	
24.000000	0.293578	-0.008899	-0.000740	
24.050000	0.292624	-0.010765	-0.000732	
24.100000	0.291756	-0.013043	-0.000732	
24.150000	0.290983	-0.015703	-0.000725	
24.200000	0.290312	-0.018709	-0.000725	
24.250000	0.289747	-0.022026	-0.000725	
24.300000	0.289289	-0.025613	-0.000725	
24.350000	0.288935	-0.029423	-0.000725	
24.400000	0.288683	-0.033405	-0.000725	
24.450000	0.288527	-0.037504	-0.000725	
24.500000	0.288461	-0.041659	-0.000725	
24.550000	0.288479	-0.045808	-0.000732	
24.600000	0.288576	-0.049888	-0.000732	
24.650000	0.288746	-0.053838	-0.000740	
24.700000	0.288983	-0.057600	-0.000748	
24.750000	0.289284	-0.061124	-0.000748	
24.800000	0.289643	-0.064365	-0.000755	
24.850000	0.290054	-0.067283	-0.000763	
24.900000	0.290512	-0.069850	-0.000763	
24.950000	0.291009	-0.072037	-0.000771	
25.000000	0.291536	-0.073825	-0.000778	
25.050000	0.292085	-0.075195	-0.000778	
25.100000	0.292643	-0.076129	-0.000786	
25.150000	0.293199	-0.076612	-0.000786	
25.200000	0.293741	-0.076631	-0.000793	
25.250000	0.294258	-0.076173	-0.000793	
25.300000	0.294738	-0.075233	-0.000793	
25.350000	0.295171	-0.073809	-0.000793	
25.400000	0.295547	-0.071909	-0.000793	
25.450000	0.295858	-0.069551	-0.000793	
25.500000	0.296096	-0.066764	-0.000793	
25.550000	0.296256	-0.063589	-0.000786	
25.600000	0.296332	-0.060078	-0.000786	
25.650000	0.296320	-0.056291	-0.000778	
25.700000	0.296218	-0.052297	-0.000778	
25.750000	0.296022	-0.048166	-0.000771	
25.800000	0.295734	-0.043970	-0.000763	
25.850000	0.295352	-0.039779	-0.000763	
25.900000	0.294881	-0.035657	-0.000755	
25.950000	0.294324	-0.031662	-0.000748	
26.000000	0.293688	-0.027847	-0.000748	
26.050000	0.292981	-0.024256	-0.000740	
26.100000	0.292214	-0.020929	-0.000732	
26.150000	0.291397	-0.017899	-0.000725	
26.200000	0.290543	-0.015199	-0.000725	
26.250000	0.289665	-0.012857	-0.000717	
26.300000	0.288774	-0.010899	-0.000717	
26.350000	0.287884	-0.009353	-0.000710	
26.400000	0.287006	-0.008239	-0.000702	
26.450000	0.286148	-0.007579	-0.000702	
26.500000	0.285319	-0.007386	-0.000694	
26.550000	0.284528	-0.007670	-0.000694	
26.600000	0.283780	-0.008430	-0.000687	
26.650000	0.283081	-0.009660	-0.000687	
26.700000	0.282437	-0.011343	-0.000679	
26.750000	0.281853	-0.013454	-0.000679	
26.800000	0.281334	-0.015961	-0.000679	
26.850000	0.280888	-0.018827	-0.000679	
26.900000	0.280519	-0.022008	-0.000679	
26.950000	0.280233	-0.025458	-0.000679	
27.000000	0.280037	-0.029131	-0.000679	
27.050000	0.279933	-0.032977	-0.000679	
27.100000	0.279924	-0.036948	-0.000687	
27.150000	0.280012	-0.040993	-0.000687	
27.200000	0.280195	-0.045062	-0.000694	
27.250000	0.280470	-0.049103	-0.000694	
27.300000	0.280832	-0.053062	-0.000702	
27.350000	0.281272	-0.056883	-0.000710	
27.400000	0.281782	-0.060510	-0.000710	
27.450000	0.282351	-0.063884	-0.000717	
27.500000	0.282967	-0.066951	-0.000725	
27.550000	0.283620	-0.069659	-0.000732	
