HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	PtfmFxt   	PtfmFyt   	PtfmFzt   	PtfmFxi   	PtfmFyi   	PtfmFzi   	PtfmMxt   	PtfmMyt   	PtfmMzt   	PtfmMxi   	PtfmMyi   	PtfmMzi   	
(s)	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	
7.500000	-2177.901611	409.072906	79103.101562	-310.038208	206.954758	79133.250000	23509.193359	120388.125000	50.510086	21233.492188	120810.101562	-206.951202	
7.550000	-2229.427002	381.238525	79102.351562	-330.696838	178.748734	79133.789062	22601.230469	122647.109375	41.972229	20388.445312	123034.156250	-196.625214	
7.600000	-2286.093750	346.004761	79101.687500	-356.124146	143.132355	79134.546875	21475.414062	124985.695312	27.729126	19331.103516	125335.125000	-185.898346	
7.650000	-2323.597168	310.099487	79101.625000	-362.133148	107.257866	79135.453125	20327.984375	127123.343750	13.044769	18262.017578	127436.414062	-174.846786	
7.700000	-2342.678711	274.304291	79102.046875	-349.491333	71.858032	79136.398438	19162.193359	129071.179688	-2.100830	17183.171875	129349.421875	-163.536499	
7.750000	-2367.700928	233.744797	79102.406250	-342.510590	31.674212	79137.437500	17872.675781	131110.921875	-21.175659	15984.024414	131354.468750	-152.033524	
7.800000	-2404.400635	189.199448	79102.617188	-346.958954	-12.557735	79138.617188	16350.411133	133312.843750	-47.385818	14554.180664	133520.812500	-140.413727	
7.850000	-2440.131104	147.072266	79102.851562	-350.280273	-54.233410	79139.820312	14450.739258	135547.093750	-84.612045	12750.126953	135717.593750	-128.797226	
7.900000	-2472.646484	114.904678	79103.023438	-350.315521	-85.788689	79140.921875	12786.104492	137741.265625	-116.793854	11184.440430	137880.546875	-117.265137	
7.950000	-2506.414795	88.456604	79103.062500	-351.463837	-111.521973	79141.945312	11449.275391	139933.812500	-141.277496	9948.614258	140048.531250	-105.872787	
8.000000	-2544.673584	66.546204	79102.789062	-356.936768	-132.641876	79142.820312	10559.617188	142154.171875	-154.470139	9161.137695	142251.203125	-94.658768	
8.050000	-2585.479736	56.238602	79102.250000	-364.837067	-142.046066	79143.546875	10394.110352	144368.390625	-147.963531	9099.238281	144455.828125	-83.643135	
8.100000	-2622.239746	54.018631	79101.632812	-368.506134	-143.183502	79144.109375	10384.785156	146553.187500	-136.967865	9194.912109	146632.687500	-72.847061	
8.150000	-2654.996582	52.207260	79100.992188	-367.909271	-143.742477	79144.570312	10364.683594	148720.890625	-126.129822	9280.926758	148792.500000	-62.272629	
8.200000	-2678.999756	47.521545	79100.531250	-358.278442	-146.979233	79144.953125	10445.312500	150801.250000	-111.997101	9469.294922	150865.703125	-51.916714	
8.250000	-2694.936768	42.913849	79100.304688	-340.339081	-149.956421	79145.335938	10482.507812	152806.687500	-98.737793	9615.622070	152863.703125	-41.782612	
